id_mutation,nom_station,distance_station_plus_proche
2022-1624818,Château-Landon,174.76997314110483
2022-1624834,Angélique Compoint,436.6517570375654
2022-1624838,Porte des Lilas,65.78410276416442
2022-1624840,Télégraphe,235.87163968518314
2022-1624842,Buttes-Chaumont,284.4002535933519
2022-1624855,Jourdain,565.7140380209314
2022-1624856,Corentin Cariou,148.77329968246016
2022-1624869,Ourcq,219.23728399219013
2022-1624872,Marcadet-Poissonniers,114.43358887229117
2022-1624875,Colonel Fabien,138.65168538171585
2022-1624883,Adrienne Bolland,128.15752328503223
2022-1624884,Cadet,242.2210987431823
2022-1624901,Lamarck-Caulaincourt,122.29446067156013
2022-1624909,La Fourche,115.82918764522351
2022-1624912,Jaurès,179.01155243541737
2022-1624920,Simplon,169.8990495920831
2022-1624921,Château Rouge,91.00961770759693
2022-1624922,Strasbourg-Saint-Denis,270.28480414313515
2022-1624926,Jaurès,179.01155243541737
2022-1624928,Corentin Cariou,263.1024310196908
2022-1624931,Maraîchers,442.9305843796904
2022-1624947,Riquet,389.17252395574724
2022-1624949,Angélique Compoint,216.8438258684942
2022-1624950,Marx Dormoy,77.18471997190363
2022-1624955,Saint-Philippe du Roule,99.67964524620999
2022-1624968,La Fourche,251.82316774490292
2022-1624973,Gambetta,98.01505628902183
2022-1624991,Télégraphe,237.20435132009334
2022-1624994,Télégraphe,245.6915680780123
2022-1624997,Lamarck-Caulaincourt,134.13549883117045
2022-1625014,Blanche,222.0143283500465
2022-1625015,Château Rouge,419.78063604552676
2022-1625031,Jules Joffrin,188.26729639738176
2022-1625032,Barbès-Rochechouart,83.47586422462568
2022-1625037,Porte de la Chapelle,348.9621920432578
2022-1625041,Télégraphe,224.64577805724988
2022-1625063,Ourcq,190.21694803870957
2022-1625072,Pereire-Levallois,95.65863982695097
2022-1625091,Château Rouge,152.95330903903374
2022-1625108,Marx Dormoy,357.0963232182069
2022-1625110,Le Peletier,166.4674344720625
2022-1625111,Laumière,388.17414163587813
2022-1625119,Crimée,102.25925541018003
2022-1625126,Rome,164.7202833416835
2022-1625141,Porte de Montreuil,84.12702854787835
2022-1625144,Marcadet-Poissonniers,197.9256200311042
2022-1625152,Gare de l'Est,161.8510059434275
2022-1625154,Tuileries,120.39370299366594
2022-1625156,Crimée,102.25925541018003
2022-1625159,Belleville,340.13342168368507
2022-1625162,Botzaris,181.05513076696357
2022-1625165,Porte de Clignancourt,205.35028450166413
2022-1625168,Buzenval,168.690342246618
2022-1625173,Place des Fêtes,269.33394951529755
2022-1625174,Porte des Lilas,24.49703268866844
2022-1625183,Diane Arbus,368.06373292550984
2022-1625186,La Fourche,302.33815419202233
2022-1625193,Alexandre Dumas,385.8046931536035
2022-1625195,Botzaris,398.4100979276024
2022-1625197,Porte de Clignancourt,162.48310490564484
2022-1625209,Buttes-Chaumont,271.38363897505496
2022-1625210,Buttes-Chaumont,271.38363897505496
2022-1625211,Marx Dormoy,164.169020430465
2022-1625217,Gare du Nord,143.5607754851803
2022-1625225,Saint-Georges,179.4244359462462
2022-1625234,Gare du Nord,218.42146910153735
2022-1625247,Louis Blanc,71.41395091594403
2022-1625249,Buttes-Chaumont,198.89145521303334
2022-1625273,Laumière,270.9041343966003
2022-1625277,Buzenval,485.2161828507832
2022-1625283,Crimée,123.01798193196248
2022-1625287,Brochant,190.41594814218612
2022-1625289,Porte des Lilas,290.24385467168213
2022-1625292,Porte de Pantin,177.1602621347774
2022-1625303,Couronnes,183.04273875440416
2022-1625311,Pyrénées,236.73245866836544
2022-1625312,Gambetta,521.4114525608419
2022-1625313,Riquet,249.06167029071872
2022-1625324,Liège,197.72349092929193
2022-1625325,Porte de Pantin,191.84795443169793
2022-1625334,Honoré de Balzac,262.95383557389937
2022-1625340,Sentier,207.46402851310788
2022-1625348,Marcadet-Poissonniers,333.57887966927376
2022-1625365,Jacques Bonsergent,421.288138881892
2022-1625370,Bonne Nouvelle,231.11827810070955
2022-1625381,Télégraphe,203.4430505829131
2022-1625394,Buzenval,204.34219169326897
2022-1625396,Danube,311.2681652195069
2022-1625397,Laumière,301.40025980840727
2022-1625400,Goncourt,400.7359775833148
2022-1625401,Riquet,389.17252395574724
2022-1625402,Hôpital Robert Debré,154.68174431973463
2022-1625417,Corentin Cariou,62.58728250915932
2022-1625418,Blanche,197.97331772122521
